,P e r i n g k a t   t a h u n   2 0 1 2,K o t a,N e g a r a   b a g i a n [ 2 ],P e r k i r a a n   t a h u n   2 0 1 2,S e n s u s   t a h u n   2 0 1 2,P e r u b a h a n,L u a s   l a h a n   t a h u n   2 0 1 0,K e p a d a t a n   p e n d u d u k   t a h u n   2 0 1 0,A N S I,L e t a k
198,199,Visalia,California,,,"style=""text-align:right;""|124.442",127.081,"+2,12%",93.876 km2,"1,326 km−2"
199,200,Waco,Texas,,,"style=""text-align:right;""|124.805",127.018,"+1,77%",230.416 km2,542 km−2
200,201,Elizabeth,New Jersey,,,"style=""text-align:right;""|124.969",126.458,"+1,19%",31.907 km2,"3,917 km−2"
201,202,Bellevue,Washington,,,"style=""text-align:right;""|122.363",126.439,"+3,33%",82.796 km2,"1,478 km−2"
202,203,Gainesville,Florida,,,"style=""text-align:right;""|124.354",126.047,"+1,36%",158.779 km2,783 km−2
203,204,Simi Valley,California,,,"style=""text-align:right;""|124.237",125.793,"+1,25%",107.433 km2,"1,156 km−2"
204,205,Charleston,South Carolina,,,"style=""text-align:right;""|120.083",125.583,"+4,58%",282.253 km2,425 km−2
205,206,Carrollton,Texas,,,"style=""text-align:right;""|119.097",125.409,"+5,30%",94.007 km2,"1,267 km−2"
206,207,Coral Springs,Florida,,,"style=""text-align:right;""|121.096",125.287,"+3,46%",61.620 km2,"1,965 km−2"
207,208,Stamford,Connecticut,,,"style=""text-align:right;""|122.643",125.109,"+2,01%",97.483 km2,"1,258 km−2"
208,209,Hartford,Connecticut,,,"style=""text-align:right;""|124.775",124.893,"+0,09%",45.016 km2,"2,772 km−2"
209,210,Concord,California,,,"style=""text-align:right;""|122.067",124.711,"+2,17%",79.114 km2,"1,543 km−2"
210,211,Roseville,California,,,"style=""text-align:right;""|118.788",124.519,"+4,82%",93.814 km2,"1,266 km−2"
211,212,Thornton,Colorado,,,"style=""text-align:right;""|118.772",124.140,"+4,52%",90.243 km2,"1,316 km−2"
212,213,Kent,Washington,,,"style=""text-align:right;""|92.411",122.999,"+33,10%",74.139 km2,"1,246 km−2"
213,214,Lafayette[25],Louisiana,,,"style=""text-align:right;""|120.623",122.761,"+1,77%",127.509 km2,946 km−2
214,215,Surprise,Arizona,,,"style=""text-align:right;""|117.517",121.287,"+3,21%",273.884 km2,429 km−2
215,216,Denton,Texas,,,"style=""text-align:right;""|113.383",121.123,"+6,83%",227.794 km2,498 km−2
216,217,Victorville,California,,,"style=""text-align:right;""|115.903",120.336,"+3,82%",189.529 km2,612 km−2
217,218,Evansville,Indiana,,,"style=""text-align:right;""|117.429",120.235,"+2,39%",114.357 km2,"1,027 km−2"
218,219,Midland,Texas,,,"style=""text-align:right;""|111.147",119.385,"+7,41%",186.663 km2,595 km−2
219,220,Santa Clara,California,,,"style=""text-align:right;""|116.468",119.311,"+2,44%",47.675 km2,"2,443 km−2"
220,221,Athens[26],Georgia,,,"style=""text-align:right;""|115.452",118.999,"+3,07%",301.358 km2,383 km−2
221,222,Allentown,Pennsylvania,,,"style=""text-align:right;""|118.032",118.974,"+0,80%",45.443 km2,"2,597 km−2"
