,N o .,R a s,N e g a r a,J e n i s,A s a l,B a d a n,B u l u,P o l a,K e t e r a n g a n,F o t o
93,94.0,Peterbald,Rusia,Domestik,Mutasi genetik/Persilangan,Oriental,Tanpa bulu,Semua,,
94,95.0,Pixiebob,Amerika Serikat,Domestik,Alami/Mutasi genetik,Besar,Pendek/Panjang,Tutul,,
95,96.0,Kucing raas,Indonesia,Domestik,Alami,,Pendek,,,
96,97.0,Ragamuffin,Amerika Serikat,Domestik,Persilangan,Pendek,Panjang,Semua,,
97,98.0,Ragdoll,Amerika Serikat,Domestik,Persilangan,Pendek,Sedang,Warna poin/Mited/Dua warna,,
98,99.0,Kucing biru rusia,Rusia,Domestik,Alami,Sedang,Pendek,Solid biru,,
99,100.0,Kucing safari,Amerika Serikat,Hibrida,,Besar,Pendek,Tutul,Ras percobaan,
100,101.0,Kucing sabana,Amerika Serikat,Hibrida,,Sedang,Pendek,Tutul,,
101,102.0,Kucing telinga lipat skotlandia,Skotlandia,Domestik,Alami/Mutasi,Pendek,Pendek,Semua,,
102,103.0,Rex selkirk,Amerika Serikat,Domestik,Mutasi genetik/Persilangan,Sedang,Rex (Pendek/Panjang),Semua,,
103,104.0,Serengeti,Amerika Serikat,Hibrida,,Sedang,Pendek,Tutul,,
104,105.0,Seychellois,Britania Raya,Domestik,Alami,Oriental,Pendek/Panjang,Warna poin,,
105,106.0,Kucing siam,Thailand,Domestik,Alami,Oriental,Pendek,Warna poin,,
106,107.0,Sibella,Amerika Serikat,Domestik,Persilangan,Sedang,Sedang,Semua,,Berkas:Sibella.jpg
107,108.0,Kucing siberia,Rusia,Domestik,Alami,Setengah pendek,Sedang,Semua,,
108,109.0,Kucing singapura,Singapura,Domestik,Alami,Sedang,Pendek,Tiktak,,
109,110.0,Kucing siprus,Mesir/ Palestina,Domestik,Alami,Sedang,Semua,Semua,,
110,111.0,Skookum,Amerika Serikat,Domestik,Persilangan,Sedang,Rex (Pendek/Panjang),Semua,Ras percobaan,Berkas:Skookum.jpg
111,112.0,Snowshoe,Amerika Serikat,Domestik,Persilangan,Sedang,Pendek,Warna poin,,
112,113.0,Sokoke,Kenya,Domestik,Alami,Sedang,Pendek,Tabi klasik dengan tiktak,,
113,114.0,Somali,Somalia,Domestik,Mutasi genetik,Sedang,Panjang,Tiktak,,
114,115.0,Kucing sfinks,Kanada,Domestik,Mutasi genetik,,Tanpa bulu,Semua,,
115,116.0,Rex tennessee,Amerika Serikat,Domestik,Mutasi genetik,Sedang,Rex,Semua,Ras percobaan,Berkas:TennesseeRex.jpg
116,117.0,Kucing thai,Thailand,Domestik,Alami,Oriental,Pendek,Warna poin,,
